TITLE,エキサイティング,ハートウォーミング,壮大な,悲劇的な,情熱的な,衝撃的な,魅惑的な,ファンタジー/SF系,リアル系
ゴッド・ファーザー,0,0,0,1,0,1,0,0,1
スターウォーズ帝国の逆襲,1,0,1,0,0,0,0,1,0
ダークナイト,1,0,0,0,0,1,0,0,1
ショーシャンクの空に,0,1,0,0,0,0,0,0,1
パルプ・フィクション,0,0,0,0,0,1,0,0,1
グッド・フェローズ,1,0,0,0,0,1,0,0,1
レイダース失われたアーク,1,0,1,0,0,0,0,1,0
ジョーズ,0,0,0,0,0,1,0,0,1
スターウォーズ新たなる希望,0,0,1,0,0,0,0,1,0
ロード・オブ・ザ・リング旅の仲間,0,0,1,0,0,0,0,1,0
バック・トゥ・ザ・フューチャー,0,1,0,0,0,0,0,1,0
ゴッド・ファーザーパート2,0,0,0,1,0,1,0,0,1
ブレード・ランナー,0,0,0,0,0,0,1,1,0
エイリアン,0,0,0,0,0,1,0,1,0
エイリアン2,1,0,0,0,0,0,0,1,0
ロード・オブ・ザ・リング王の帰還,0,0,1,0,0,0,0,1,0
ファイト・クラブ,0,0,0,1,0,1,0,0,1
インセプション,0,0,0,0,0,0,1,1,0
ジュラシック・パーク,0,0,0,0,0,0,1,1,0
ダイ・ハード,1,0,0,0,0,0,0,0,1
2001年宇宙の旅,0,0,0,0,0,0,1,1,0
地獄の黙示録,0,0,0,1,0,1,0,0,1
ロード・オブ・ザ・リング2つの塔,0,0,1,0,0,0,0,1,0
マトリックス,0,0,0,0,0,0,1,1,0
ターミネーター2,1,0,0,0,0,0,0,1,0
ヒート,1,0,0,0,0,1,0,0,1
続夕陽のガンマン,0,0,1,1,0,0,0,0,1
カサブランカ,0,0,0,0,1,0,0,0,1
ビッグ・リボウスキ,0,1,0,0,0,0,0,0,1
セブン,0,0,0,1,0,1,0,0,1
タクシー・ドライバー,0,0,0,1,0,1,0,0,1
ユージュアル・サスペクツ,0,0,0,1,0,1,0,0,1
シンドラーのリスト,0,0,0,1,0,0,0,0,1
ガーディアンズ・オブ・ギャラクシー,1,0,0,0,0,0,0,1,0
シャイニング,0,0,0,0,0,1,0,1,0
ディパーテッド,1,0,0,0,0,1,0,0,1
遊星からの物体Ｘ,0,0,0,0,0,1,0,1,0
マッドマックス怒りのデスロード,1,0,0,0,0,0,0,1,0
プライベート・ライアン,0,0,0,1,0,0,0,0,1
12人の怒れる男,0,1,0,0,0,0,0,0,1
エターナル・サンシャイン,0,1,0,0,1,0,0,1,0
ゼア・ウィル・ビー・ブラッド,0,0,0,1,0,1,0,0,1
カッコーの巣の上で,0,0,0,1,0,0,0,0,1
グラディエーター,0,0,1,0,1,0,0,0,1
ドライヴ,1,0,0,0,1,0,0,0,1
市民ケーン,0,0,0,1,0,0,1,0,1
インターステラー,0,0,1,0,0,0,0,1,0
羊たちの沈黙,0,0,0,0,0,1,0,0,1
トレイン・スポッティング,0,0,0,0,0,1,0,0,1
アラビアのロレンス,0,0,1,0,0,0,1,0,1
素晴らしき哉、人生！,0,1,0,0,0,0,0,1,0
ウエスタン,1,0,1,0,0,0,0,0,1
サイコ,0,0,0,0,0,1,0,0,1
めまい,0,0,0,1,0,0,1,0,1
パンズ・ラビリンス,0,0,0,1,0,0,0,1,0
レザボア・ドッグス,1,0,0,0,0,1,0,0,1
セッション,0,0,0,1,1,0,0,0,1
イングロリアス・バスターズ,0,0,0,0,0,1,0,0,1
E.T.,0,1,0,0,0,0,1,1,0
アメリカン・ビューティ,0,0,0,1,0,1,0,0,1
フォレスト・ガンプ,0,1,0,0,0,0,0,0,1
ラ・ラ・ランド,0,0,0,0,1,0,0,0,1
ドニー・ダーコ,0,0,0,0,0,0,1,1,0
L.A.コンフィデンシャル,1,0,0,0,0,1,0,0,1
アベンジャーズ,1,0,1,0,0,0,0,1,0
スター・ウォーズジェダイの帰還,0,0,1,0,0,0,0,1,0
メメント,0,0,0,1,0,1,0,0,1
ゴーストバスターズ,0,1,0,0,0,0,0,1,0
雨に唄えば,0,1,0,0,0,0,0,0,1
ライオン・キング,0,1,0,1,0,0,0,1,0
ホットファズ俺たちスーパーポリスメン！,1,0,0,0,0,0,0,0,1
裏窓,0,0,0,0,0,0,1,0,1
7人の侍,1,0,1,0,0,0,0,0,1
