TITLE,ファンタジー/SF系,リアル系
ゴッド・ファーザー,0,1
スターウォーズ　帝国の逆襲,1,0
ダークナイト,0,1
ショーシャンクの空に,0,1
パルプ・フィクション,0,1
グッド・フェローズ,0,1
レイダース　失われたアーク,1,0
ジョーズ,0,1
スターウォーズ　新たなる希望,1,0
ロード・オブ・ザ・リング　旅の仲間,1,0
バック・トゥ・ザ・フューチャー,1,0
ゴッド・ファーザー　パート2,0,1
ブレード・ランナー,1,0
エイリアン,1,0
エイリアン2,1,0
ロード・オブ・ザ・リング　王の帰還,1,0
ファイト・クラブ,0,1
インセプション,1,0
ジュラシック・パーク,1,0
ダイ・ハード,0,1
2001年宇宙の旅,1,0
地獄の黙示録,0,1
ロード・オブ・ザ・リング　2つの塔,1,0
マトリックス,1,0
ターミネーター2,1,0
ヒート,0,1
続　夕陽のガンマン,0,1
カサブランカ,0,1
ビッグ・リボウスキ,0,1
セブン,0,1
タクシー・ドライバー,0,1
ユージュアル・サスペクツ,0,1
シンドラーのリスト,0,1
ガーディアンズ・オブ・ギャラクシー,1,0
シャイニング,1,0
ディパーテッド,0,1
遊星からの物体Ｘ,1,0
マッドマックス　怒りのデスロード,1,0
プライベート・ライアン,0,1
12人の怒れる男,0,1
エターナル・サンシャイン,1,0
ゼア・ウィル・ビー・ブラッド,0,1
カッコーの巣の上で,0,1
グラディエーター,0,1
ドライヴ,0,1
市民ケーン,0,1
インターステラー,1,0
羊たちの沈黙,0,1
トレイン・スポッティング,0,1
アラビアのロレンス,0,1
素晴らしき哉、人生！,1,0
ウエスタン,0,1
サイコ,0,1
めまい,0,1
パンズ・ラビリンス,1,0
レザボア・ドッグス,0,1
セッション,0,1
イングロリアス・バスターズ,0,1
E.T,1,0
アメリカン・ビューティ,0,1
フォレスト・ガンプ,0,1
ラ・ラ・ランド,0,1
ドニー・ダーコ,1,0
L.A.コンフィデンシャル,0,1
アベンジャーズ,1,0
スター・ウォーズ　ジェダイの帰還,1,0
メメント,0,1
ゴーストバスターズ,1,0
雨に唄えば,0,1
ライオン・キング,1,0
ホットファズ　俺たちスーパーポリスメン！,0,1
裏窓,0,1
7人の侍,0,1
マルホランド・ドライブ,0,1
ファーゴ,0,1
時計じかけのオレンジ,0,1
トイ・ストーリー,1,0
オールド・ボーイ,0,1
キャプテン・アメリカ　シビル・ウォー,1,0
千と千尋の神隠し,1,0
ソーシャル・ネットワーク,0,1
お熱いのがお好き,0,1
トゥルー・ロマンス,0,1
ロッキー,0,1
レオン,0,1
インディ・ジョーンズ　最後の聖戦,1,0
プレデター,1,0
エクソシスト,1,0
ショーン・オブ・ザ・デッド,1,0
ノーカントリー,0,1
プレステージ,1,0
ターミネーター,1,0
プリンセス・ブライド・ストーリー,1,0
ロスト・イン・トランスレーション,0,1
メッセージ,1,0
グッド・ウィル・ハンティング,0,1
タイタニック,0,1
アメリ,0,1
レイジング・ブル,0,1
スタンド・バイ・ミー,0,1
