TITLE,スペクタクル  ,ドラマ/シリアス系  ,ロムコム系  
ゴッド・ファーザー,0,1,0
スターウォーズ　帝国の逆襲,1,0,0
ダークナイト,1,0,0
ショーシャンクの空に,0,1,0
パルプ・フィクション,0,1,0
グッド・フェローズ,0,1,0
レイダース　失われたアーク,1,0,0
ジョーズ,1,0,0
スターウォーズ　新たなる希望,1,0,0
ロード・オブ・ザ・リング　旅の仲間,1,0,0
バック・トゥ・ザ・フューチャー,1,0,0
ゴッド・ファーザー　パート2,0,1,0
ブレード・ランナー,1,0,0
エイリアン,1,0,0
エイリアン2,1,0,0
ロード・オブ・ザ・リング　王の帰還,1,0,0
ファイト・クラブ,0,1,0
インセプション,1,0,0
ジュラシック・パーク,1,0,0
ダイ・ハード,1,0,0
2001年宇宙の旅,1,0,0
地獄の黙示録,0,1,0
ロード・オブ・ザ・リング　2つの塔,1,0,0
マトリックス,1,0,0
ターミネーター2,1,0,0
ヒート,0,1,0
続　夕陽のガンマン,1,0,0
カサブランカ,0,0,1
ビッグ・リボウスキ,0,0,1
セブン,0,1,0
タクシー・ドライバー,0,1,0
ユージュアル・サスペクツ,0,1,0
シンドラーのリスト,0,1,0
ガーディアンズ・オブ・ギャラクシー,1,0,0
シャイニング,1,0,0
ディパーテッド,0,1,0
遊星からの物体Ｘ,1,0,0
マッドマックス　怒りのデスロード,1,0,0
プライベート・ライアン,0,1,0
12人の怒れる男,0,1,0
エターナル・サンシャイン,0,0,1
ゼア・ウィル・ビー・ブラッド,0,1,0
カッコーの巣の上で,0,1,0
グラディエーター,1,0,0
ドライヴ,0,1,0
市民ケーン,0,1,0
インターステラー,1,0,0
羊たちの沈黙,0,1,0
トレイン・スポッティング,0,1,0
アラビアのロレンス,0,1,0
素晴らしき哉、人生！,1,0,0
ウエスタン,1,0,0
サイコ,0,1,0
めまい,0,1,0
パンズ・ラビリンス,1,0,0
レザボア・ドッグス,0,1,0
セッション,0,1,0
イングロリアス・バスターズ,0,1,0
E.T,1,0,0
アメリカン・ビューティ,0,1,0
フォレスト・ガンプ,0,1,0
ラ・ラ・ランド,0,0,1
ドニー・ダーコ,1,0,0
L.A.コンフィデンシャル,0,1,0
アベンジャーズ,1,0,0
スター・ウォーズ　ジェダイの帰還,1,0,0
メメント,0,1,0
ゴーストバスターズ,0,0,1
雨に唄えば,0,0,1
ライオン・キング,0,0,1
ホットファズ　俺たちスーパーポリスメン！,0,0,1
裏窓,0,1,0
7人の侍,1,0,0
マルホランド・ドライブ,0,1,0
ファーゴ,0,1,0
時計じかけのオレンジ,0,1,0
トイ・ストーリー,0,0,1
オールド・ボーイ,0,1,0
キャプテン・アメリカ　シビル・ウォー,1,0,0
千と千尋の神隠し,1,0,0
ソーシャル・ネットワーク,0,1,0
お熱いのがお好き,0,0,1
トゥルー・ロマンス,0,0,1
ロッキー,0,1,0
レオン,0,1,0
インディ・ジョーンズ　最後の聖戦,1,0,0
プレデター,1,0,0
エクソシスト,1,0,0
ショーン・オブ・ザ・デッド,0,0,1
ノーカントリー,0,1,0
プレステージ,1,0,0
ターミネーター,1,0,0
プリンセス・ブライド・ストーリー,0,0,1
ロスト・イン・トランスレーション,0,0,1
メッセージ,1,0,0
グッド・ウィル・ハンティング,0,1,0
タイタニック,0,0,1
アメリ,0,0,1
レイジング・ブル,0,1,0
スタンド・バイ・ミー,0,1,0
