ID,TITLE,P_GENRE
0,ゴッド・ファーザー,ドラマ  
1,スターウォーズ　帝国の逆襲,アクション/アドベンチャー & SF/ファンタジー  
2,ダークナイト,アクション/アドベンチャー & SF/ファンタジー  
3,ショーシャンクの空に,ドラマ  
4,パルプ・フィクション,ドラマ  
5,グッド・フェローズ,ドラマ  
6,レイダース　失われたアーク,アクション/アドベンチャー & SF/ファンタジー  
7,ジョーズ,ドラマ  
8,スターウォーズ　新たなる希望,アクション/アドベンチャー & SF/ファンタジー  
9,ロード・オブ・ザ・リング　旅の仲間,アクション/アドベンチャー & SF/ファンタジー  
10,バック・トゥ・ザ・フューチャー,アクション/アドベンチャー & SF/ファンタジー  
11,ゴッド・ファーザー　パート2,ドラマ  
12,ブレード・ランナー,アクション/アドベンチャー & SF/ファンタジー  
13,エイリアン,アクション/アドベンチャー & SF/ファンタジー  
14,エイリアン2,アクション/アドベンチャー & SF/ファンタジー  
15,ロード・オブ・ザ・リング　王の帰還,アクション/アドベンチャー & SF/ファンタジー  
16,ファイト・クラブ,ドラマ  
17,インセプション,アクション/アドベンチャー & SF/ファンタジー  
18,ジュラシック・パーク,アクション/アドベンチャー & SF/ファンタジー  
19,ダイ・ハード,アクション/アドベンチャー & SF/ファンタジー  
20,2001年宇宙の旅,アクション/アドベンチャー & SF/ファンタジー  
21,地獄の黙示録,ドラマ  
22,ロード・オブ・ザ・リング　2つの塔,アクション/アドベンチャー & SF/ファンタジー  
23,マトリックス,アクション/アドベンチャー & SF/ファンタジー  
24,ターミネーター2,アクション/アドベンチャー & SF/ファンタジー  
25,ヒート,ドラマ  
26,続　夕陽のガンマン,アクション/アドベンチャー & SF/ファンタジー  
27,カサブランカ,ドラマ  
28,ビッグ・リボウスキ,コメディ  
29,セブン,ドラマ  
30,タクシー・ドライバー,ドラマ  
31,ユージュアル・サスペクツ,ドラマ  
32,シンドラーのリスト,ドラマ  
33,ガーディアンズ・オブ・ギャラクシー,アクション/アドベンチャー & SF/ファンタジー  
34,シャイニング,ドラマ  
35,ディパーテッド,ドラマ  
36,遊星からの物体Ｘ,アクション/アドベンチャー & SF/ファンタジー  
37,マッドマックス　怒りのデスロード,アクション/アドベンチャー & SF/ファンタジー  
38,プライベート・ライアン,ドラマ  
39,12人の怒れる男,ドラマ  
40,エターナル・サンシャイン,アクション/アドベンチャー & SF/ファンタジー  
41,ゼア・ウィル・ビー・ブラッド,ドラマ  
42,カッコーの巣の上で,ドラマ  
43,グラディエーター,アクション/アドベンチャー & SF/ファンタジー  
44,ドライヴ,ドラマ  
45,市民ケーン,ドラマ  
46,インターステラー,アクション/アドベンチャー & SF/ファンタジー  
47,羊たちの沈黙,ドラマ  
48,トレイン・スポッティング,ドラマ  
49,アラビアのロレンス,ドラマ  
50,素晴らしき哉、人生！,アクション/アドベンチャー & SF/ファンタジー  
51,ウエスタン,アクション/アドベンチャー & SF/ファンタジー  
52,サイコ,ドラマ  
53,めまい,ドラマ  
54,パンズ・ラビリンス,アクション/アドベンチャー & SF/ファンタジー  
55,レザボア・ドッグス,ドラマ  
56,セッション,ドラマ  
57,イングロリアス・バスターズ,ドラマ  
58,E.T,アクション/アドベンチャー & SF/ファンタジー  
59,アメリカン・ビューティ,ドラマ  
60,フォレスト・ガンプ,ドラマ  
61,ラ・ラ・ランド,ドラマ  
62,ドニー・ダーコ,アクション/アドベンチャー & SF/ファンタジー  
63,L.A.コンフィデンシャル,ドラマ  
64,アベンジャーズ,アクション/アドベンチャー & SF/ファンタジー  
65,スター・ウォーズ　ジェダイの帰還,アクション/アドベンチャー & SF/ファンタジー  
66,メメント,ドラマ  
67,ゴーストバスターズ,コメディ  
68,雨に唄えば,コメディ  
69,ライオン・キング,アクション/アドベンチャー & SF/ファンタジー  
70,ホットファズ　俺たちスーパーポリスメン！,コメディ  
71,裏窓,ドラマ  
72,7人の侍,アクション/アドベンチャー & SF/ファンタジー  
73,マルホランド・ドライブ,ドラマ  
74,ファーゴ,ドラマ  
75,時計じかけのオレンジ,ドラマ  
76,トイ・ストーリー,コメディ  
77,オールド・ボーイ,ドラマ  
78,キャプテン・アメリカ　シビル・ウォー,アクション/アドベンチャー & SF/ファンタジー  
79,千と千尋の神隠し,アクション/アドベンチャー & SF/ファンタジー  
80,ソーシャル・ネットワーク,ドラマ  
81,お熱いのがお好き,コメディ  
82,トゥルー・ロマンス,ドラマ  
83,ロッキー,ドラマ  
84,レオン,ドラマ  
85,インディ・ジョーンズ　最後の聖戦,アクション/アドベンチャー & SF/ファンタジー  
86,プレデター,アクション/アドベンチャー & SF/ファンタジー  
87,エクソシスト,アクション/アドベンチャー & SF/ファンタジー  
88,ショーン・オブ・ザ・デッド,コメディ  
89,ノーカントリー,ドラマ  
90,プレステージ,アクション/アドベンチャー & SF/ファンタジー  
91,ターミネーター,アクション/アドベンチャー & SF/ファンタジー  
92,プリンセス・ブライド・ストーリー,アクション/アドベンチャー & SF/ファンタジー  
93,ロスト・イン・トランスレーション,ドラマ  
94,メッセージ,アクション/アドベンチャー & SF/ファンタジー  
95,グッド・ウィル・ハンティング,ドラマ  
96,タイタニック,ドラマ  
97,アメリ,コメディ  
98,レイジング・ブル,ドラマ  
99,スタンド・バイ・ミー,ドラマ  
