ID,TITLE,P_GENRE
0,ゴッド・ファーザー,ドラマ/シリアス系  
1,スターウォーズ　帝国の逆襲,スペクタクル  
2,ダークナイト,スペクタクル  
3,ショーシャンクの空に,ドラマ/シリアス系  
4,パルプ・フィクション,ドラマ/シリアス系  
5,グッド・フェローズ,ドラマ/シリアス系  
6,レイダース　失われたアーク,スペクタクル  
7,ジョーズ,スペクタクル  
8,スターウォーズ　新たなる希望,スペクタクル  
9,ロード・オブ・ザ・リング　旅の仲間,スペクタクル  
10,バック・トゥ・ザ・フューチャー,スペクタクル  
11,ゴッド・ファーザー　パート2,ドラマ/シリアス系  
12,ブレード・ランナー,スペクタクル  
13,エイリアン,スペクタクル  
14,エイリアン2,スペクタクル  
15,ロード・オブ・ザ・リング　王の帰還,スペクタクル  
16,ファイト・クラブ,ドラマ/シリアス系  
17,インセプション,スペクタクル  
18,ジュラシック・パーク,スペクタクル  
19,ダイ・ハード,スペクタクル  
20,2001年宇宙の旅,スペクタクル  
21,地獄の黙示録,ドラマ/シリアス系  
22,ロード・オブ・ザ・リング　2つの塔,スペクタクル  
23,マトリックス,スペクタクル  
24,ターミネーター2,スペクタクル  
25,ヒート,ドラマ/シリアス系  
26,続　夕陽のガンマン,スペクタクル  
27,カサブランカ,ロムコム系  
28,ビッグ・リボウスキ,ロムコム系  
29,セブン,ドラマ/シリアス系  
30,タクシー・ドライバー,ドラマ/シリアス系  
31,ユージュアル・サスペクツ,ドラマ/シリアス系  
32,シンドラーのリスト,ドラマ/シリアス系  
33,ガーディアンズ・オブ・ギャラクシー,スペクタクル  
34,シャイニング,スペクタクル  
35,ディパーテッド,ドラマ/シリアス系  
36,遊星からの物体Ｘ,スペクタクル  
37,マッドマックス　怒りのデスロード,スペクタクル  
38,プライベート・ライアン,ドラマ/シリアス系  
39,12人の怒れる男,ドラマ/シリアス系  
40,エターナル・サンシャイン,ロムコム系  
41,ゼア・ウィル・ビー・ブラッド,ドラマ/シリアス系  
42,カッコーの巣の上で,ドラマ/シリアス系  
43,グラディエーター,スペクタクル  
44,ドライヴ,ドラマ/シリアス系  
45,市民ケーン,ドラマ/シリアス系  
46,インターステラー,スペクタクル  
47,羊たちの沈黙,ドラマ/シリアス系  
48,トレイン・スポッティング,ドラマ/シリアス系  
49,アラビアのロレンス,ドラマ/シリアス系  
50,素晴らしき哉、人生！,スペクタクル  
51,ウエスタン,スペクタクル  
52,サイコ,ドラマ/シリアス系  
53,めまい,ドラマ/シリアス系  
54,パンズ・ラビリンス,スペクタクル  
55,レザボア・ドッグス,ドラマ/シリアス系  
56,セッション,ドラマ/シリアス系  
57,イングロリアス・バスターズ,ドラマ/シリアス系  
58,E.T,スペクタクル  
59,アメリカン・ビューティ,ドラマ/シリアス系  
60,フォレスト・ガンプ,ドラマ/シリアス系  
61,ラ・ラ・ランド,ロムコム系  
62,ドニー・ダーコ,スペクタクル  
63,L.A.コンフィデンシャル,ドラマ/シリアス系  
64,アベンジャーズ,スペクタクル  
65,スター・ウォーズ　ジェダイの帰還,スペクタクル  
66,メメント,ドラマ/シリアス系  
67,ゴーストバスターズ,ロムコム系  
68,雨に唄えば,ロムコム系  
69,ライオン・キング,ロムコム系  
70,ホットファズ　俺たちスーパーポリスメン！,ロムコム系  
71,裏窓,ドラマ/シリアス系  
72,7人の侍,スペクタクル  
73,マルホランド・ドライブ,ドラマ/シリアス系  
74,ファーゴ,ドラマ/シリアス系  
75,時計じかけのオレンジ,ドラマ/シリアス系  
76,トイ・ストーリー,ロムコム系  
77,オールド・ボーイ,ドラマ/シリアス系  
78,キャプテン・アメリカ　シビル・ウォー,スペクタクル  
79,千と千尋の神隠し,スペクタクル  
80,ソーシャル・ネットワーク,ドラマ/シリアス系  
81,お熱いのがお好き,ロムコム系  
82,トゥルー・ロマンス,ロムコム系  
83,ロッキー,ドラマ/シリアス系  
84,レオン,ドラマ/シリアス系  
85,インディ・ジョーンズ　最後の聖戦,スペクタクル  
86,プレデター,スペクタクル  
87,エクソシスト,スペクタクル  
88,ショーン・オブ・ザ・デッド,ロムコム系  
89,ノーカントリー,ドラマ/シリアス系  
90,プレステージ,スペクタクル  
91,ターミネーター,スペクタクル  
92,プリンセス・ブライド・ストーリー,ロムコム系  
93,ロスト・イン・トランスレーション,ロムコム系  
94,メッセージ,スペクタクル  
95,グッド・ウィル・ハンティング,ドラマ/シリアス系  
96,タイタニック,ロムコム系  
97,アメリ,ロムコム系  
98,レイジング・ブル,ドラマ/シリアス系  
99,スタンド・バイ・ミー,ドラマ/シリアス系  
