ID,TITLE,TAG1,TAG2,TAG3,TAG4
0,ゴッド・ファーザー,クライム,ドラマ,,
1,スターウォーズ帝国の逆襲,SF,ファンタジー,アクション,アドベンチャー
2,ダークナイト,アクション,クライム,ドラマ,
3,ショーシャンクの空に,ドラマ,クライム,,
4,パルプ・フィクション,クライム,ドラマ,,
5,グッド・フェローズ,クライム,ドラマ,,
6,レイダース失われたアーク,アクション,アドベンチャー,,
7,ジョーズ,ホラー,サスペンス,,
8,スターウォーズ新たなる希望,SF,ファンタジー,アクション,アドベンチャー
9,ロード・オブ・ザ・リング旅の仲間,ファンタジー,アドベンチャー,,
10,バック・トゥ・ザ・フューチャー,SF,コメディ,アドベンチャー,
11,ゴッド・ファーザーパート2,クライム,ドラマ,,
12,ブレード・ランナー,SF,サスペンス,,
13,エイリアン,SF,ホラー,,
14,エイリアン2,SF,アクション,ホラー,
15,ロード・オブ・ザ・リング王の帰還,ファンタジー,アドベンチャー,,
16,ファイト・クラブ,ドラマ,サスペンス,,
17,インセプション,SF,アクション,サスペンス,
18,ジュラシック・パーク,SF,アドベンチャー,サスペンス,
19,ダイ・ハード,アクション,サスペンス,,
20,2001年宇宙の旅,SF,ドラマ,,
21,地獄の黙示録,戦争,ドラマ,,
22,ロード・オブ・ザ・リング2つの塔,ファンタジー,アドベンチャー,,
23,マトリックス,SF,アクション,,
24,ターミネーター2,SF,アクション,,
25,ヒート,クライム,アクション,サスペンス,
26,続夕陽のガンマン,アクション,ドラマ,,
27,カサブランカ,ロマンス,ドラマ,,
28,ビッグ・リボウスキ,コメディ,クライム,,
29,セブン,クライム,サスペンス,,
30,タクシー・ドライバー,クライム,ドラマ,,
31,ユージュアル・サスペクツ,クライム,サスペンス,,
32,シンドラーのリスト,戦争,ドラマ,,
33,ガーディアンズ・オブ・ギャラクシー,SF,アクション,コメディ,
34,シャイニング,ホラー,サスペンス,,
35,ディパーテッド,クライム,サスペンス,,
36,遊星からの物体Ｘ,SF,ホラー,,
37,マッドマックス怒りのデスロード,アクション,SF,,
38,プライベート・ライアン,戦争,ドラマ,,
39,12人の怒れる男,ドラマ,サスペンス,,
40,エターナル・サンシャイン,ロマンス,ドラマ,,
41,ゼア・ウィル・ビー・ブラッド,ドラマ,サスペンス,,
42,カッコーの巣の上で,ドラマ,コメディ,,
43,グラディエーター,アクション,ドラマ,,
44,ドライヴ,クライム,ドラマ,サスペンス,
45,市民ケーン,ドラマ,ミステリー,,
46,インターステラー,SF,ドラマ,,
47,羊たちの沈黙,クライム,サスペンス,ホラー,
48,トレイン・スポッティング,ドラマ,コメディ,,
49,アラビアのロレンス,戦争,アドベンチャー,ドラマ,
50,素晴らしき哉、人生！,ドラマ,ファンタジー,,
51,ウエスタン,アクション,ドラマ,,
52,サイコ,ホラー,サスペンス,,
53,めまい,ミステリー,サスペンス,,
54,パンズ・ラビリンス,ファンタジー,戦争,ドラマ,
55,レザボア・ドッグス,クライム,サスペンス,,
56,セッション,ドラマ,ミュージカル/音楽,,
57,イングロリアス・バスターズ,戦争,アクション,ドラマ,
58,E.T,SF,ファミリー,,
59,アメリカン・ビューティ,ドラマ,コメディ,,
60,フォレスト・ガンプ,ドラマ,ロマンス,,
61,ラ・ラ・ランド,ドラマ,ロマンス,ミュージカル/音楽,
62,ドニー・ダーコ,SF,ミステリー,ドラマ,
63,L.A.コンフィデンシャル,クライム,ドラマ,サスペンス,
64,アベンジャーズ,アクション,SF,,
65,スター・ウォーズジェダイの帰還,SF,ファンタジー,アクション,アドベンチャー
66,メメント,ミステリー,サスペンス,ドラマ,
67,ゴーストバスターズ,コメディ,ファンタジー,,
68,雨に唄えば,コメディ,ロマンス,ミュージカル/音楽,
69,ライオン・キング,ミュージカル/音楽,ファミリー,アドベンチャー,
70,ホットファズ俺たちスーパーポリスメン！,コメディ,アクション,,
71,裏窓,ミステリー,サスペンス,,
72,7人の侍,アクション,ドラマ,,
73,マルホランド・ドライブ,ミステリー,サスペンス,,
74,ファーゴ,クライム,コメディ,ドラマ,
75,時計じかけのオレンジ,SF,クライム,ドラマ,
76,トイ・ストーリー,コメディ,ファミリー,,
77,オールド・ボーイ,クライム,サスペンス,,
78,キャプテン・アメリカシビル・ウォー,アクション,SF,,
79,千と千尋の神隠し,ファンタジー,ファミリー,,
80,ソーシャル・ネットワーク,ドラマ,サスペンス,,
81,お熱いのがお好き,コメディ,ロマンス,ミュージカル/音楽,
82,トゥルー・ロマンス,クライム,アクション,ロマンス,
83,ロッキー,ドラマ,アクション,,
84,レオン,クライム,ドラマ,アクション,
85,インディ・ジョーンズ最後の聖戦,アクション,アドベンチャー,,
86,プレデター,アクション,SF,ホラー,
87,エクソシスト,ホラー,サスペンス,,
88,ショーン・オブ・ザ・デッド,コメディ,ホラー,,
89,ノーカントリー,クライム,サスペンス,ドラマ,
90,プレステージ,ドラマ,ミステリー,SF,
91,ターミネーター,SF,アクション,,
92,プリンセス・ブライド・ストーリー,ファンタジー,アドベンチャー,ロマンス,コメディ
93,ロスト・イン・トランスレーション,ドラマ,ロマンス,,
94,メッセージ,SF,ドラマ,,
95,グッド・ウィル・ハンティング,ドラマ,ロマンス,,
96,タイタニック,ロマンス,ドラマ,,
97,アメリ,ロマンス,コメディ,ドラマ,
98,レイジング・ブル,ドラマ,アクション,,
99,スタンド・バイ・ミー,ドラマ,アドベンチャー,,
