ID,TITLE,TAG1,TAG2,TAG3,TAG4
0,ゴッド・ファーザー,衝撃的な,悲劇的な,,
1,スターウォーズ帝国の逆襲,壮大な,エキサイティング,,
2,ダークナイト,エキサイティング,衝撃的な,,
3,ショーシャンクの空に,感動的な,ハートウォーミング,,
4,パルプ・フィクション,ユーモラス,衝撃的な,,
5,グッド・フェローズ,エキサイティング,衝撃的な,,
6,レイダース失われたアーク,エキサイティング,壮大な,,
7,ジョーズ,ハラハラする,衝撃的な,,
8,スターウォーズ新たなる希望,壮大な,感動的な,,
9,ロード・オブ・ザ・リング旅の仲間,壮大な,幻想的な,,
10,バック・トゥ・ザ・フューチャー,ユーモラス,ハートウォーミング,,
11,ゴッド・ファーザーパート2,悲劇的な,衝撃的な,,
12,ブレード・ランナー,魅惑的な,幻想的な,,
13,エイリアン,ハラハラする,衝撃的な,,
14,エイリアン2,エキサイティング,ハラハラする,,
15,ロード・オブ・ザ・リング王の帰還,壮大な,幻想的な,,
16,ファイト・クラブ,悲劇的な,衝撃的な,,
17,インセプション,魅惑的な,ハラハラする,,
18,ジュラシック・パーク,ハラハラする,魅惑的な,,
19,ダイ・ハード,エキサイティング,ハラハラする,カタルシスのある,
20,2001年宇宙の旅,幻想的な,魅惑的な,,
21,地獄の黙示録,悲劇的な,衝撃的な,,
22,ロード・オブ・ザ・リング2つの塔,壮大な,幻想的な,,
23,マトリックス,ハラハラする,魅惑的な,,
24,ターミネーター2,エキサイティング,ハラハラする,,
25,ヒート,エキサイティング,衝撃的な,,
26,続夕陽のガンマン,壮大な,悲劇的な,,
27,カサブランカ,情熱的な,感動的な,,
28,ビッグ・リボウスキ,ユーモラス,ハートウォーミング,,
29,セブン,悲劇的な,衝撃的な,,
30,タクシー・ドライバー,悲劇的な,衝撃的な,,
31,ユージュアル・サスペクツ,衝撃的な,悲劇的な,,
32,シンドラーのリスト,悲劇的な,感動的な,,
33,ガーディアンズ・オブ・ギャラクシー,ユーモラス,エキサイティング,,
34,シャイニング,ハラハラする,衝撃的な,,
35,ディパーテッド,エキサイティング,衝撃的な,,
36,遊星からの物体Ｘ,ハラハラする,衝撃的な,,
37,マッドマックス怒りのデスロード,エキサイティング,ハラハラする,,
38,プライベート・ライアン,悲劇的な,感動的な,,
39,12人の怒れる男,感動的な,ハートウォーミング,,
40,エターナル・サンシャイン,ハートウォーミング,情熱的な,,
41,ゼア・ウィル・ビー・ブラッド,悲劇的な,衝撃的な,,
42,カッコーの巣の上で,ユーモラス,悲劇的な,,
43,グラディエーター,壮大な,情熱的な,カタルシスのある,
44,ドライヴ,エキサイティング,情熱的な,,
45,市民ケーン,魅惑的な,悲劇的な,,
46,インターステラー,壮大な,感動的な,,
47,羊たちの沈黙,衝撃的な,ハラハラする,,
48,トレイン・スポッティング,ユーモラス,衝撃的な,,
49,アラビアのロレンス,壮大な,魅惑的な,,
50,素晴らしき哉、人生！,ハートウォーミング,感動的な,,
51,ウエスタン,壮大な,エキサイティング,,
52,サイコ,衝撃的な,ハラハラする,,
53,めまい,魅惑的な,悲劇的な,,
54,パンズ・ラビリンス,幻想的な,悲劇的な,,
55,レザボア・ドッグス,衝撃的な,エキサイティング,,
56,セッション,悲劇的な,情熱的な,,
57,イングロリアス・バスターズ,ユーモラス,衝撃的な,,
58,E.T.,ハートウォーミング,魅惑的な,,
59,アメリカン・ビューティ,悲劇的な,衝撃的な,,
60,フォレスト・ガンプ,感動的な,ハートウォーミング,,
61,ラ・ラ・ランド,情熱的な,感動的な,,
62,ドニー・ダーコ,幻想的な,魅惑的な,,
63,L.A.コンフィデンシャル,エキサイティング,衝撃的な,,
64,アベンジャーズ,壮大な,エキサイティング,,
65,スター・ウォーズジェダイの帰還,壮大な,感動的な,,
66,メメント,悲劇的な,衝撃的な,,
