ID,TITLE,TAG1,TAG2,TAG3,TAG4
0,ゴッド・ファーザー,家族,権力,,
1,スターウォーズ帝国の逆襲,正義と悪,希望,,
2,ダークナイト,正義と悪,孤独,,
3,ショーシャンクの空に,自由,希望,,
4,パルプ・フィクション,裏切り,社会風刺,,
5,グッド・フェローズ,裏切り,権力,,
6,レイダース失われたアーク,友情,自己犠牲,信仰,
7,ジョーズ,自己犠牲,希望,,
8,スターウォーズ新たなる希望,正義と悪,希望,,
9,ロード・オブ・ザ・リング旅の仲間,自己犠牲,希望,団結,
10,バック・トゥ・ザ・フューチャー,アイデンティティ,成長,,
11,ゴッド・ファーザーパート2,家族,権力,,
12,ブレード・ランナー,アイデンティティ,孤独,,
13,エイリアン,孤独,自己犠牲,,
14,エイリアン2,自己犠牲,希望,,
15,ロード・オブ・ザ・リング王の帰還,自己犠牲,希望,,
16,ファイト・クラブ,葛藤,社会風刺,,
17,インセプション,葛藤,アイデンティティ,,
18,ジュラシック・パーク,自由,希望,,
19,ダイ・ハード,自己犠牲,正義と悪,,
20,2001年宇宙の旅,アイデンティティ,孤独,,
21,地獄の黙示録,反戦,孤独,,
22,ロード・オブ・ザ・リング2つの塔,自己犠牲,希望,,
23,マトリックス,自由,アイデンティティ,,
24,ターミネーター2,自己犠牲,希望,,
25,ヒート,裏切り,権力,,
26,続夕陽のガンマン,自由,友情,,
27,カサブランカ,裏切り,希望,愛,
28,ビッグ・リボウスキ,友情,自由,,
29,セブン,復讐,正義と悪,,
30,タクシー・ドライバー,葛藤,アイデンティティ,トラウマ,
31,ユージュアル・サスペクツ,裏切り,権力,,
32,シンドラーのリスト,反戦,自己犠牲,,
33,ガーディアンズ・オブ・ギャラクシー,友情,自己犠牲,団結,
34,シャイニング,孤独,葛藤,,
35,ディパーテッド,裏切り,権力,,
36,遊星からの物体Ｘ,孤独,葛藤,,
37,マッドマックス怒りのデスロード,自由,自己犠牲,,
38,プライベート・ライアン,反戦,自己犠牲,名誉,
39,12人の怒れる男,正義と悪,希望,,
40,エターナル・サンシャイン,愛,孤独,,
41,ゼア・ウィル・ビー・ブラッド,権力,孤独,,
42,カッコーの巣の上で,自由,社会風刺,,
43,グラディエーター,復讐,権力,喪失,名誉
44,ドライヴ,孤独,復讐,,
45,市民ケーン,権力,孤独,,
46,インターステラー,家族,希望,喪失,
47,羊たちの沈黙,正義と悪,孤独,,
48,トレイン・スポッティング,成長,社会風刺,,
49,アラビアのロレンス,反戦,権力,,
50,素晴らしき哉、人生！,家族,希望,,
51,ウエスタン,復讐,自由,,
52,サイコ,アイデンティティ,葛藤,,
53,めまい,葛藤,アイデンティティ,,
54,パンズ・ラビリンス,反戦,希望,,
55,レザボア・ドッグス,裏切り,復讐,,
56,セッション,成長,葛藤,,
57,イングロリアス・バスターズ,復讐,反戦,,
58,E.T,友情,成長,,
59,アメリカン・ビューティ,孤独,社会風刺,,
60,フォレスト・ガンプ,成長,希望,,
61,ラ・ラ・ランド,成長,愛,,
62,ドニー・ダーコ,葛藤,不条理,トラウマ,
63,L.A.コンフィデンシャル,裏切り,権力,,
64,アベンジャーズ,友情,正義と悪,団結,
65,スター・ウォーズジェダイの帰還,正義と悪,希望,,
66,メメント,アイデンティティ,復讐,トラウマ,
67,ゴーストバスターズ,友情,希望,,
68,雨に唄えば,友情,自由,,
69,ライオン・キング,家族,成長,喪失,
70,ホットファズ俺たちスーパーポリスメン！,友情,社会風刺,,
71,裏窓,葛藤,正義と悪,,
72,7人の侍,自己犠牲,友情,名誉,
73,マルホランド・ドライブ,葛藤,不条理,,
74,ファーゴ,裏切り,正義と悪,,
75,時計じかけのオレンジ,不条理,社会風刺,,
76,トイ・ストーリー,友情,成長,,
77,オールド・ボーイ,復讐,葛藤,,
78,キャプテン・アメリカシビル・ウォー,友情,裏切り,,
79,千と千尋の神隠し,成長,アイデンティティ,,
80,ソーシャル・ネットワーク,裏切り,葛藤,,
81,お熱いのがお好き,愛,自由,,
82,トゥルー・ロマンス,裏切り,愛,,
83,ロッキー,成長,愛,,
84,レオン,孤独,愛,,
85,インディ・ジョーンズ最後の聖戦,友情,自己犠牲,信仰,
86,プレデター,孤独,自己犠牲,,
87,エクソシスト,正義と悪,自己犠牲,信仰,
88,ショーン・オブ・ザ・デッド,友情,自己犠牲,,
89,ノーカントリー,不条理,正義と悪,,
90,プレステージ,裏切り,復讐,,
91,ターミネーター,自己犠牲,希望,,
92,プリンセス・ブライド・ストーリー,友情,愛,,
93,ロスト・イン・トランスレーション,孤独,愛,,
94,メッセージ,家族,希望,,
95,グッド・ウィル・ハンティング,成長,葛藤,,
96,タイタニック,愛,自己犠牲,,
97,アメリ,愛,孤独,,
98,レイジング・ブル,葛藤,孤独,,
99,スタンド・バイ・ミー,友情,成長,,
