ID,animal_name,体毛,羽毛,卵生,乳,空を飛ぶ,水生,捕食者,歯,背骨,肺呼吸,毒を持つ,ヒレ,しっぽ,家畜化,猫サイズ,type,足が0本,足が2本,足が4本,足が5本,足が6本,足が8本
0,ツチブタ,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0
1,レイヨウ,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
2,スズキ,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0,0,0,0
3,クマ,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0
4,イノシシ,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
5,バッファロー,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
6,子牛,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0
7,コイ,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,4,1,0,0,0,0,0
8,ナマズ,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0,0,0,0
9,テンジクネズミ,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0
10,チーター,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
11,ニワトリ,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,0,1,0,0,0,0
12,ウグイ,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0,0,0,0
13,ハマグリ,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0
14,カニ,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0
15,ザリガニ,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0
16,カラス,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0
17,シカ,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
18,ドッグフィッシュ,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,4,1,0,0,0,0,0
19,イルカ,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0
20,ハト,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,0,1,0,0,0,0
21,アヒル,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0
22,ゾウ,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
23,フラミンゴ,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,2,0,1,0,0,0,0
24,ノミ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0
25,カエル,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,5,0,0,1,0,0,0
26,毒ガエル,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,5,0,0,1,0,0,0
27,フルーツコウモリ,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0
28,キリン,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
29,女の子,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0
30,ブヨ,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0
31,ヤギ,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0
32,ゴリラ,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0
33,カモメ,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0
34,コダラ,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,4,1,0,0,0,0,0
35,ハムスター,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0
36,ノウサギ,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0
