,animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize,type,legs_0,legs_2,legs_4
0,aardvark,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1
1,antelope,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1
2,bass,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0
3,bear,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1
4,boar,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1
5,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1
6,calf,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1
7,carp,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,4,1,0,0
8,catfish,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0
9,cavy,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1
10,cheetah,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1
11,chicken,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,0,1,0
12,chub,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0
16,crow,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,2,0,1,0
17,deer,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1
18,dogfish,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,4,1,0,0
19,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0
20,dove,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,0,1,0
21,duck,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,2,0,1,0
22,elephant,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1
23,flamingo,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,2,0,1,0
27,fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0
28,giraffe,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1
29,girl,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0
31,goat,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1
32,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0
